Input Type,n,Trial,Algorithm,Time,Comparisons,Swaps/Data Movements,Recursive Calls,Max Recursion Depth,Peak Memory Bytes,Constant c
random,700,10,Heap Sort,0.03698039997834712,11096,6000,6350,10,6388,5.5896691123607825e-06
random,700,10,Merge Sort,0.021881500026211143,5708,6676,1399,11,19344,3.307437045036008e-06
random,700,10,Quick Sort,0.01903989992570132,6725,3036,929,19,7576,2.8779229153672847e-06
random,800,1,Heap Sort,0.05272299994248897,12997,7016,7416,10,7052,6.833754945245682e-06
random,800,1,Merge Sort,0.033456599921919405,6690,7776,1599,11,21712,4.336517372245901e-06
random,800,1,Quick Sort,0.023830000078305602,8741,4104,1069,22,155888,3.0887540742742888e-06
random,800,2,Heap Sort,0.05239269998855889,13028,7038,7438,10,7052,6.790942720105871e-06
random,800,2,Merge Sort,0.037171100033447146,6715,7776,1599,11,21712,4.817976764426876e-06
random,800,2,Quick Sort,0.02386549999937415,8527,3985,1071,22,8568,3.0933554391704947e-06
random,800,3,Heap Sort,0.05382759997155517,13044,7056,7456,10,7188,6.9769290043732695e-06
random,800,3,Merge Sort,0.02760230004787445,6721,7776,1599,11,21712,3.5777052644590534e-06
random,800,3,Quick Sort,0.023310599965043366,8922,4154,1043,22,8440,3.0214314049186233e-06
random,800,4,Heap Sort,0.04422119993250817,13033,7019,7419,10,7188,5.731783928325713e-06
random,800,4,Merge Sort,0.023178600007668138,6739,7776,1599,11,21712,3.0043220719430876e-06
random,800,4,Quick Sort,0.026302400045096874,8497,3567,1063,21,8504,3.409217164730357e-06
random,800,5,Heap Sort,0.04083339998032898,13023,7042,7442,10,7188,5.292670169587372e-06
random,800,5,Merge Sort,0.026311499997973442,6731,7776,1599,11,21712,3.410396666049318e-06
random,800,5,Quick Sort,0.02077059994917363,8296,3339,1065,19,8312,2.692206252929776e-06
random,800,6,Heap Sort,0.04419519996736199,13020,7013,7413,10,7188,5.728413911623557e-06
random,800,6,Merge Sort,0.0219350999686867,6712,7776,1599,11,21712,2.843144321244681e-06
random,800,6,Quick Sort,0.02092909999191761,8412,3913,1061,19,8312,2.71275042629064e-06
random,800,7,Heap Sort,0.04482399998232722,13006,7025,7425,10,7052,5.809916580601546e-06
random,800,7,Merge Sort,0.021132700028829277,6716,7776,1599,11,21712,2.739140289549844e-06
random,800,7,Quick Sort,0.026891699992120266,8888,4991,1055,21,8504,3.48559998497194e-06
random,800,8,Heap Sort,0.04291719989851117,13065,7054,7454,10,7188,5.562764398127355e-06
random,800,8,Merge Sort,0.024556800024583936,6728,7776,1599,11,21712,3.18295912202388e-06
random,800,8,Quick Sort,0.022931199986487627,8009,3838,1053,20,8376,2.972255021129583e-06
random,800,9,Heap Sort,0.043802900006994605,13067,7057,7457,10,7188,5.677565481202211e-06
random,800,9,Merge Sort,0.023402199964039028,6735,7776,1599,11,21712,3.0333042487781137e-06
random,800,9,Quick Sort,0.02220210002269596,8685,3279,1059,22,8376,2.8777518538482306e-06
random,800,10,Heap Sort,0.04218770004808903,13008,7043,7443,10,7188,5.468209399060225e-06
random,800,10,Merge Sort,0.02412820002064109,6716,7776,1599,11,21712,3.1274056178668385e-06
random,800,10,Quick Sort,0.023813600069843233,8274,3913,1101,20,8376,3.086628367484955e-06
