Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
duplicate_heavy,500,Heap Sort,0.024960060010198504,0.019833200029097497,0.03438800002913922,7030.8,3707.0,3957.0,9.0,4696.8,5.567847545227713e-06
duplicate_heavy,500,Merge Sort,0.013955050020013005,0.011846100096590817,0.019058800069615245,3761.3,4488.0,999.0,10.0,29102.4,3.1129568985696286e-06
duplicate_heavy,500,Quick Sort,0.0316591500188224,0.02622290002182126,0.04425399994943291,14245.8,838.2,981.0,65.7,8632.0,7.062215421127681e-06
duplicate_heavy,600,Heap Sort,0.025458920013625173,0.023618800099939108,0.028696699999272823,8767.1,4618.2,4918.2,10.0,5588.0,4.597720984565364e-06
duplicate_heavy,600,Merge Sort,0.016442820010706783,0.014511900022625923,0.02001800003927201,4661.6,5576.0,1199.0,11.0,17136.0,2.9694699762675833e-06
duplicate_heavy,600,Quick Sort,0.048024440021254125,0.04176250007003546,0.0644542999798432,20536.2,1173.9,1181.0,77.5,25027.9,8.67291210858712e-06
duplicate_heavy,700,Heap Sort,0.03622625998686999,0.030692200060002506,0.04552070004865527,10477.7,5501.6,5851.6,10.0,6374.4,5.47567918744856e-06
duplicate_heavy,700,Merge Sort,0.02220808999845758,0.02004029997624457,0.0266216000309214,5594.6,6676.0,1399.0,11.0,19324.8,3.356801840477419e-06
duplicate_heavy,700,Quick Sort,0.06624028999358415,0.06005570001434535,0.07105989998672158,27548.3,1401.6,1381.0,88.5,26607.3,1.001236609630385e-05
duplicate_heavy,800,Heap Sort,0.042227309988811614,0.036480599897913635,0.056079600006341934,12220.2,6410.8,6810.8,10.0,7174.4,5.473343489089038e-06
duplicate_heavy,800,Merge Sort,0.02545383999822661,0.022906199912540615,0.02901699999347329,6545.4,7776.0,1599.0,11.0,21712.0,3.299230035337814e-06
duplicate_heavy,800,Quick Sort,0.09125166002195328,0.08636439999099821,0.10207800008356571,35031.1,1436.6,1581.0,99.6,28296.0,1.1827693485141662e-05
